Arrazola (Atxondo), úle,,,
Arrieta, úle,,,
Bakio, ulé,,,
Bermeo, ulé,,,
Berriz, úle,,,
Bolibar, úle,,,
Busturia, ulé,,,
Dima, úle,,,
Elantxobe, ulé,,,
Elorrio, úle,,,
Errigoiti, úle,,,
Etxebarri, úʎa,,,
Etxebarria, úle,,,
Gamiz-Fika, ulé,,,
Getxo, úle,,,
Gizaburuaga, úle,,,
Ibarruri (Muxika), úle,,,
Kortezubi, ulé,,,
Larrabetzu, úle,,,
Laukiz, ulé,,,
Leioa, ulé,,,
Lekeitio, úle,,,
Lemoa, úle,,,
Lemoiz, ulé,,,
Mañaria, úle,,,
Mendata, úle,,,
Mungia, úle,,,
Ondarroa, úle,,,
Orozko, úʎe,,,
Otxandio, úle,,,
Sondika, úle,,,
Zaratamo, úʎe,,,
Zeanuri, úʎe,,,
Zeberio, úʎe,,,
Zollo (Arrankudiaga), úʎa,,,
Zornotza, úle,,,
Aramaio, úle,,,
Aia, iʎé,,,
Amezketa, iʎé,,,
Andoain, iʎé,,,
Araotz (Oñati), úle,,,
Arrasate, úle,,,
Arroa (Zestoa), iʎé,,,
Asteasu, iʎé, *tʃimá,,
Ataun, βurúkoi̯ʎé,,,
Azkoitia, íʎe,,,
Azpeitia, iʎé,,,
Beasain, iʎe,,,
Beizama, iʎé,,,
Bergara, íʎe,,,
Deba, íʎe,,,
Donostia, iʎé,,,
Eibar, úle,,,
Elduain, iʎɛ́,,,
Elgoibar, iʎe,,,
Errezil, iʎé,,,
Ezkio-Itsaso, iʎé,,,
Getaria, iʎé,,,
Hernani, iʎé,,,
Hondarribia, iʎe,,,
Ikaztegieta, iʎe,,,
Lasarte-Oria, iʎé,,,
Legazpi, íʎe,,,
Leintz Gatzaga, úle,,,
Mendaro, iʎé,,,
Oiartzun, iʎé, *kíma,,
Oñati, úle,,,
Orexa, íʎe,,,
Orio, iʎé,,,
Pasaia, iʎé, *símá,,
Tolosa, iʎé,,,
Urretxu, iʎé,,,
Zegama, iʎé,,,
Abaurregaina / Abaurrea Alta, βílo,,,
Alkotz, iʎá , kalpár̄ a ,,
Aniz, iʎé,,,
Arbizu, iʎá,,,
Beruete, kalpár̄ , iʎé,,
Donamaria, iʎé,,,
Dorrao / Torrano, íʎa,,,
Erratzu, íle,,,
Etxalar, iʎé,,,
Etxaleku, kalpár̄ , iʎé,,
Etxarri (Larraun), kalpár̄ , iʎí,,
Eugi, βílo,,,
Ezkurra, iʎé,,,
Gaintza, iʎé, kalpár̄,,
Goizueta, iʎɛ́,,,
Igoa, kalpár̄ , iʎé,,
Jaurrieta, bílo,,,
Leitza, iʎé,,,
Lekaroz, ílɛ,,,
Luzaide / Valcarlos, bílo,,,
Mezkiritz, bílo,,,
Oderitz, kalpár̄,,,
Suarbe, kálpar̄ , íʎe, íʎa,
Sunbilla, iʎé,,,
Urdiain, íle,,,
Zilbeti, βílo,,,
Zugarramurdi, íle,,,
Ahetze, íle,,,
Arrangoitze, íle,,,
Azkaine, iʎé, ileá ,,
Bardoze, bílo,,,
Beskoitze, βílo,,,
Donibane Lohizune, ilé,,,
Hazparne, íle, *bílo,,
Hendaia, iʎé,,,
Itsasu, ilé, bílo,,
Makea, βiló, *íle,,
Mugerre, ile,,,
Sara, ilé,,,
Senpere, íle, *ile͜óndo,,
Urketa, bílo,,,
Uztaritze, ilé, *βiló,,
Aldude, íle, *biló,,
Arboti, bílwak ,,,
Armendaritze, ilé, biló,,
Arnegi, βiló, ilé,,
Arrueta, bílo,,,
Baigorri, ile,,,
Bastida, íle, bíle (?),,
Behorlegi, biló,,,
Bidarrai, βiló, íle,,
Ezterenzubi, bílo,,,
Gamarte, biló,,,
Garrüze, bílo,,,
Irisarri, bílo,,,
Izturitze, bílho, ilhe (?),,
Jutsi, bilho,,,
Landibarre, biluá , bírua ,bílo, ílea 
Larzabale, bilho,,,
Uharte Garazi, bílo,,,
Altzai, bilhó,,,
Altzürükü, bílho,,,
Barkoxe, bilho,,,
Domintxaine, bílo, bilhó,,
Eskiula, bílho, bilhúk ,,
Larraine, bilho,,,
Montori, bilhó,,,
Pagola, bilhó,,,
Santa Grazi, bílho,,,
Sohüta, bílho,,,
Urdiñarbe, bilhó,,,
Ürrüstoi, bílho,,,
